"freg_id","mun_id","population","households","youth","adults","elderly","women","buildings","buildings_pre1945"
"110501","1105",44165,12886,6687,28534,8944,23114,10824,313
"110506","1105",59238,18014,9429,38460,11349,31328,12143,175
"110507","1105",46529,13452,6193,28788,11548,25340,6797,463
"110508","1105",64192,18504,8728,38844,16620,34576,14462,919
"110601","1106",14306,4038,1796,8591,3919,7740,2716,1018
"110602","1106",13850,3714,1774,8735,3341,7581,1493,729
"110607","1106",12183,3380,1351,7690,3142,6397,1730,628
"110608","1106",35362,10027,4101,20786,10475,19554,2493,91
"110610","1106",14787,3839,1702,9490,3595,7798,2255,787
"110611","1106",18028,5112,2462,11297,4269,9678,1383,174
"110618","1106",46334,12900,6790,29855,9689,24813,1900,123
"110621","1106",35479,10548,4698,22240,8541,18881,1490,292
"110633","1106",32179,9171,3865,19760,8554,17262,2741,203
"110639","1106",34076,9368,4057,21023,8996,18653,1726,257
"110654","1106",33309,8640,4639,20433,8237,18353,2489,121
"110655","1106",21160,5587,2779,13319,5062,11507,1377,488
"110656","1106",33302,7765,3456,23171,6675,16930,2953,1686
"110657","1106",23261,5881,3047,14756,5458,12616,1759,477
"110658","1106",16546,4492,2468,9687,4391,8972,2885,638
"110659","1106",22140,5813,3156,13554,5430,12263,2461,1226
"110660","1106",20267,5170,3013,13063,4191,10888,2781,1637
"110661","1106",9658,2288,953,6472,2233,4849,2007,1649
"110662","1106",22382,6339,3961,15022,3399,11559,777,69
"110663","1106",28475,7487,3076,18815,6584,15195,2425,1115
"110664","1106",23645,6585,4462,15312,3871,12632,1675,163
"110665","1106",10051,2135,875,7149,2027,4428,1978,1598
"110666","1106",11060,2720,1306,7375,2379,5747,1471,861
"110667","1106",13956,3576,1433,9213,3310,7321,2258,1497
"110702","1107",4802,1448,656,2871,1275,2536,2101,458
"110705","1107",2639,794,370,1680,589,1369,1292,197
"110707","1107",30254,9049,4717,19642,5895,15997,5179,323
"110708","1107",3216,956,430,1983,803,1674,1539,343
"110726","1107",20922,6127,2438,11914,6570,11285,1119,135
"110727","1107",24672,7246,3691,16189,4792,13158,1425,119
"110728","1107",44453,13874,6165,27575,10713,23250,8276,139
"110729","1107",8605,2519,1272,5328,2005,4447,3279,317
"110730","1107",28522,8405,4439,19363,4720,15109,1147,30
"110731","1107",33505,9866,5445,21116,6944,17645,5996,196
"110902","1109",2848,870,473,1886,489,1431,1525,39
"110904","1109",4918,1436,710,3134,1074,2511,2171,249
"110906","1109",12359,3649,1954,8008,2397,6424,4340,317
"110909","1109",20781,6236,3576,13917,3288,10776,5274,350
"110911","1109",7645,2269,1356,5171,1118,3860,2378,233
"110913","1109",4396,1324,673,2832,891,2228,2428,151
"110918","1109",4434,1360,603,2758,1073,2283,1963,369
"110919","1109",3979,1200,592,2557,830,2075,1703,383
"110920","1109",4693,1415,754,2973,966,2373,2087,317
"110921","1109",9647,2872,1701,6493,1453,5060,1852,170
"110922","1109",10815,3195,1785,7234,1796,5578,3069,283
"111002","1110",14451,4305,2301,9362,2788,7473,2484,184
"111009","1110",15098,4562,2343,9509,3246,7925,2807,81
"111012","1110",47936,13866,6497,29127,12312,25870,3434,286
"111013","1110",36079,10721,5750,22320,8009,19321,3592,148
"111014","1110",58094,16513,7426,35775,14893,31488,6171,485
"111102","1111",68649,20372,10505,46859,11285,36259,7726,232
"111105","1111",7746,2261,1050,4737,1959,4060,5075,670
"111108","1111",49489,14832,7728,34195,7566,26224,5319,202
"111115","1111",13347,4005,2228,8981,2138,7007,2051,13
"111122","1111",41323,12466,5695,27082,8546,22171,2735,111
"111129","1111",10723,3299,1520,6723,2480,5480,4564,634
"111131","1111",2322,714,329,1456,537,1187,988,137
"111132","1111",4216,1297,598,2643,975,2155,1795,249
"111124","1111",39683,11736,6238,28275,5170,21125,1907,51
"111125","1111",47804,14284,6455,32258,9091,25699,1605,8
"111130","1111",45224,13044,6624,30726,7874,23895,4339,382
"111133","1111",7190,2074,1053,4885,1252,3799,690,61
"111134","1111",12376,3754,1801,7823,2752,6436,6333,455
"111135","1111",5617,1704,817,3551,1249,2921,2874,206
"111128","1111",29896,8793,4262,19624,6010,15396,9758,1365
"111408","1114",21258,6545,3886,14140,3232,10997,2711,382
"111409","1114",18336,5468,2579,11520,4237,9773,2888,490
"111412","1114",12645,3871,1756,7956,2933,6604,3470,503
"111413","1114",36465,11150,5379,23868,7218,19000,4195,295
"111414","1114",7954,2403,1099,5280,1575,4148,1338,234
"111415","1114",40871,12604,6221,28421,6229,21329,2317,111
"111512","1115",16837,4904,2501,11237,3099,8867,1017,1
"111513","1115",37607,10869,5256,23363,8988,20354,2763,28
"111514","1115",27093,7946,3976,17510,5607,14436,1763,16
"111515","1115",20788,6072,2545,12721,5522,11384,1715,194
"111516","1115",42961,12799,6746,28020,8195,22769,3601,155
"111517","1115",26168,7571,3327,16165,6676,14251,1683,43
"111603","1116",59586,17605,9121,38376,12089,31710,3490,168
"111608","1116",35111,10432,5071,22473,7567,18364,6346,78
"111609","1116",18806,5543,2503,11568,4735,10081,1632,33
"111610","1116",34531,10474,5641,22369,6521,18155,5506,175
"150201","1502",13228,3960,2127,8666,2435,6871,2969,424
"150202","1502",3344,996,508,2235,601,1755,859,169
"150203","1502",2571,749,497,1703,371,1313,777,60
"150303","1503",13968,3955,1731,8755,3482,7328,3162,288
"150312","1503",48608,14350,5336,29059,14213,26482,4385,606
"150313","1503",26345,7665,4075,16630,5640,13875,5593,507
"150314","1503",48733,14769,7599,31103,10031,25179,17414,184
"150315","1503",39584,11804,5478,25287,8819,21166,3964,179
"150407","1504",11594,3512,1788,7250,2556,6107,2708,195
"150409","1504",41296,12516,5013,24822,11461,22061,4065,230
"150410","1504",21813,6582,2912,13635,5266,11591,2949,676
"150411","1504",3642,1099,610,2290,742,1884,1149,140
"150601","1506",16146,4894,2674,10451,3021,8242,3654,187
"150603","1506",17728,5458,2538,11281,3909,9358,3712,423
"150607","1506",30089,8970,4269,18753,7067,16126,3826,62
"150608","1506",2292,680,328,1447,517,1181,1040,74
"150701","1507",1566,417,147,854,565,778,1162,209
"150704","1507",3243,980,439,1988,816,1649,1539,118
"150709","1507",5379,1625,837,3456,1086,2735,2106,155
"150710","1507",41404,12287,7085,27238,7081,21609,6472,1136
"150711","1507",4090,1115,505,2688,897,1858,1815,64
"150802","1508",18790,5671,2606,11636,4548,9730,6678,325
"150803","1508",26989,8220,4078,17942,4969,14158,5665,236
"150804","1508",14262,4305,2245,9270,2747,7320,5864,146
"150806","1508",8811,2547,1065,5446,2300,4479,4353,197
"151002","1510",49345,15032,6919,30920,11506,26183,6762,258
"151005","1510",50806,15683,7316,32308,11182,26829,9261,85
"151006","1510",20754,6475,3429,12824,4501,10694,10020,10
"151008","1510",15505,4742,2322,10243,2940,8220,2095,217
"151009","1510",24411,7466,3656,16126,4629,12942,3298,342
"151010","1510",5685,1739,852,3756,1078,3014,768,80
"151101","1511",20212,6191,2850,12783,4579,10321,11157,356
"151102","1511",4083,1224,344,2177,1562,2113,1405,302
"151103","1511",28089,8667,4635,18909,4545,14515,9031,0
"151205","1512",52627,15851,7951,33945,10731,27586,5667,696
"151207","1512",6809,2064,1161,4393,1255,3444,2219,47
"151208","1512",5357,1711,697,3168,1492,2712,2123,22
"151209","1512",20946,6302,3108,13286,4552,10833,8948,334
"151210","1512",37757,11262,4599,22695,10463,20363,5674,1446
